iter	Passed	Remaining
0	179	53622
1	200	29861
2	222	21983
3	242	17928
4	266	15729
5	287	14078
6	310	12995
7	332	12129
8	356	11537
9	378	10975
10	397	10444111	412	9906112	433	9580113	460	9397114	484	9201115	501	8893116	526	8757117	552	8655118	571	8450119	594	8316220	619	8231221	635	8031222	661	7970223	687	7910224	707	7784225	731	7711226	759	7677227	787	7645228	813	7598229	839	7556330	859	7462331	884	7405332	907	7343333	928	7262334	948	7179335	969	7109336	993	7062337	1023	7055
38	1046	7003939	1069	6954040	1093	6905
41	1117	6867
42	1140	6819
43	1167	6794444	1195	6774545	1225	6768
46	1250	6734747	1278	6713
48	1305	6688
49	1329	6647
50	1354	6611
51	1380	6584
52	1406	6553
53	1428	6507
54	1451	6463
55	1475	6428
56	1495	6375
57	1518	6336
58	1549	6330
59	1574	6298
60	1596	6255
61	1620	6226262	1643	6186363	1669	6156464	1705	6166565	1733	6146666	1761	6125
67	1790	6108
68	1824	6107
69	1852	6087
70	1884	6076
71	1909	6047
72	1940	6034
73	1989	6076
74	2008	6026
75	2038	6008
76	2069	5992
77	2097	5968
78	2128	5953
79	2153	5923
80	2184	5907
81	2218	5898
82	2244	5868
83	2267	5829
84	2296	5808
85	2330	5799
86	2361	5781
87	2389	5756
88	2420	5737
89	2445	5705
90	2468	5670
91	2489	5628
92	2520	5609
93	2547	5583
94	2568	5541
95	2590	5505
96	2611	5466
97	2631	5423
98	2652	5384
99	2669	5339
100	2686	5293
101	2701	5244
102	2718	5198
103	2734	5153
104	2750	5107
105	2764	5058
106	2778	5010
107	2791	4962
108	2805	4916
109	2820	4871
110	2836	4830
111	2852	4788
112	2868	4747
113	2883	4705
114	2898	4662
115	2913	4621
116	2926	45711117	2942	45311118	2960	4503
119	2977	4465
120	2995	4431
121	3014	4398
122	3032	4364
123	3048	4327
124	3064	4289
125	3080	4254
126	3098	4220
127	3113	4183
128	3128	4147
129	3143	4110
130	3158	4075
131	3174	4040
132	3187	4002
133	3202	3967
134	3219	3934
135	3234	3900
136	3251	3868
137	3267	3835
138	3282	3801
139	3297	3768
140	3311	3734
141	3327	3701
142	3342	3669
143	3356	3636
144	3370	3602
145	3386	3571
146	3400	3538
147	3415	3507
148	3430	3476
149	3445	34415150	3460	34115151	3475	3384
152	3491	3355
153	3508	3326
154	3525	3298
155	3542	3269
156	3556	3238
157	3572	3210
158	3588	3182
159	3601	3151
160	3614	3120
161	3631	3093
162	3643	30616163	3655	30316164	3668	30016165	3681	29716166	3693	29416167	3707	29116168	3719	28816169	3731	28517170	3743	282171	3747	2789
172	3762	2761
173	3776	2734
174	3790	2707
175	3804	2680
176	3816	2652
177	3831	2625
178	3845	2599
179	3858	2572
180	3871	2545
181	3885	2519
182	3899	2493
183	3913	2467
184	3924	2439
185	3939	2414
186	3956	2390
187	3970	2365
188	3984	2340
189	3999	2315
190	4012	2289
191	4024	2264
192	4037	2238
193	4050	2213
194	4062	2187
195	4072	2161
196	4085	2136
197	4096	2110
198	4109	2085
199	4122	2061
200	4135	2037
201	4147	2012
202	4159	1987
203	4170	1962
204	4181	1937
205	4191	1912
206	4201	1887
207	4210	1862
208	4221	1838
209	4232	1813
210	4244	1790
211	4254	1766
212	4265	1742
213	4275	1718
214	4286	1694
215	4298	1671
216	4310	1648
217	4322	1625
218	4332	1602
219	4342	1579
220	4353	1556
221	4363	1532
222	4374	1510
223	4385	1487
224	4395	1465
225	4406	1442
226	4417	1420
227	4427	1398
228	4439	1376
229	4449	1354
230	4460	1332
231	4470	1310
232	4483	1289
233	4495	1267
234	4506	1246
235	4515	1224
236	4525	1202
237	4535	1181
238	4547	1160
239	4558	1139
240	4568	1118
241	4579	1097
242	4590	1076
243	4601	1056
244	4612	1035
245	4623	1014
246	4634	994
247	4644	973
248	4655	953
249	4666	933
250	4677	913
251	4687	892
252	4698	872
253	4709	852
254	4720	832
255	4730	813
256	4741	793
257	4751	773
258	4762	753
259	4773	734
260	4783	714
261	4794	695
262	4805	676
263	4816	656
264	4826	637
265	4837	618
266	4848	599
267	4859	580
26268	4896	5626269	4909	5427270	4926	5227271	4940	508
272	4951	489
273	4964	471
274	4978	452
275	4992	434
276	5007	415
277	5019	397
278	5030	378
279	5045	360
280	5058	342
281	5071	323
282	5085	305
283	5096	287
284	5111	269
285	5125	250
286	5140	232
287	5154	214
288	5168	196
289	5182	178
290	5191	160
291	5205	142
292	5213	124
293	5223	106
294	5233	88
295	5241	70
296	5252	53
297	5260	35
298	5269	17
299	5276	0
